time,open,high,low,close
2024-12-01T00:00:00Z,55.17,55.21,55.13,55.13
2024-12-01T00:15:00Z,55.13,55.17,55.12,55.15
2024-12-01T00:30:00Z,55.15,55.46,55.14,55.46
2024-12-01T00:45:00Z,55.47,55.69,55.47,55.69
2024-12-01T01:00:00Z,55.69,55.86,55.69,55.86
2024-12-01T01:15:00Z,55.86,55.97,55.85,55.97
2024-12-01T01:30:00Z,55.97,55.99,55.92,55.92
2024-12-01T01:45:00Z,55.92,55.93,55.85,55.91
2024-12-01T02:00:00Z,55.91,56.1,55.91,56.1
2024-12-01T02:15:00Z,56.1,56.14,56.1,56.14
2024-12-01T02:30:00Z,56.14,56.42,56.14,56.39
2024-12-01T02:45:00Z,56.39,56.39,56.04,56.13
2024-12-01T03:00:00Z,56.13,56.14,55.97,55.97
2024-12-01T03:15:00Z,55.97,55.97,55.89,55.89
2024-12-01T03:30:00Z,55.89,55.97,55.89,55.96
2024-12-01T03:45:00Z,55.96,55.96,55.92,55.96
2024-12-01T04:00:00Z,55.96,55.98,55.92,55.98
2024-12-01T04:15:00Z,55.98,56.13,55.98,56.12
2024-12-01T04:30:00Z,56.12,56.25,56.12,56.23
2024-12-01T04:45:00Z,56.23,56.32,56.23,56.32
2024-12-01T05:00:00Z,56.32,56.34,56.28,56.31
2024-12-01T05:15:00Z,56.31,56.33,56.24,56.33
2024-12-01T05:30:00Z,56.33,56.35,56.3,56.35
2024-12-01T05:45:00Z,56.35,56.37,56.31,56.31
2024-12-01T06:00:00Z,56.31,56.33,56.31,56.32
2024-12-01T06:15:00Z,56.32,56.35,56.3,56.34
2024-12-01T06:30:00Z,56.34,56.35,56.31,56.32
2024-12-01T06:45:00Z,56.32,56.39,56.32,56.39
2024-12-01T07:00:00Z,56.39,56.42,56.37,56.38
2024-12-01T07:15:00Z,56.38,56.39,56.33,56.33
2024-12-01T07:30:00Z,56.33,56.34,56.29,56.32
2024-12-01T07:45:00Z,56.32,56.38,56.32,56.37
2024-12-01T08:00:00Z,56.37,56.42,56.35,56.4
2024-12-01T08:15:00Z,56.4,56.43,56.07,56.07
2024-12-01T08:30:00Z,56.07,56.09,56,56.07
2024-12-01T08:45:00Z,56.07,56.13,55.98,55.98
2024-12-01T09:00:00Z,55.98,55.99,55.83,55.83
2024-12-01T09:15:00Z,55.83,55.9,55.83,55.89
2024-12-01T09:30:00Z,55.89,55.89,55.77,55.77
2024-12-01T09:45:00Z,55.77,55.77,55.72,55.72
2024-12-01T10:00:00Z,55.72,55.72,55.65,55.68
2024-12-01T10:15:00Z,55.68,55.69,55.59,55.59
2024-12-01T10:30:00Z,55.59,55.7,55.57,55.61
2024-12-01T10:45:00Z,55.61,55.64,55.59,55.62
2024-12-01T11:00:00Z,55.62,55.68,55.62,55.63
2024-12-01T11:15:00Z,55.63,55.73,55.63,55.73
